,design,development,analysis,processing,review,evaluation,detailed,manufacturing,optimization,creation,check,reasoning,training,failure,acquisition,inference,manufacture,system design,navigation,knowledge engineering,scheduling,certification,archive,product design,solving,concept design,knowledge management,dissemination,information search,plm,decision support,product support,system integration,knowledge based engineering,resource description,mission analysis,ontology modeling,mdao,engine analysis,knowledge capture,project planning,disciplinary analysis,problem solving,semantic representation,authoring,test report,data visualization,information sharing,customer service,flight test,product verification,system arch,recycling,system specification,knowledge interaction,information classification,preliminary design,calculation report,ground test,ontological engineering,automated reasoning,system architecting,alm,detailed design,configuration management,data validation,data storage,knowledge base building,life cycle simulation,conceptual modelling,workflow management,analyzing,access product design data,feature processing,knowledge classification,knowledge storage,failure management,express ontology,system synthesis,multidisciplinary modeling,knowledge discovery,summarizing,crawling,product data management,link analysis,system identification,design space visualization,general assembly,knowledge exploration,context inference,enterprise resource planning,structural solver,flight test report,information push,tooling development,share documents,semantic lexicon,nation decision,design concepts formalization,semantic information transferring,access,word,api,excel,google,matlab,protégé,catia,eclipse,reasoner,tr,outlook,wikipedia,expert system,solidworks,oracle,rce,optimus,modelcenter,sumo,sas,file server,tigl,aaa,isight,brics,flops,express application,openmdao,tornado,tixi,ceasiom,spss,git,share point,workflow system,cad programming interface,data mining,python application,learning tools,prado,ideas,java application,imagenet,web server,syndeia,networkx,ug,jade,triple store,ke-chain,eclipse plugin,pykechain,jupyter notebook,janus,proteus,semsearch,whatsopt,multilinq,texttoonto,visualization package, engineering java programming,surrogate model repository,oracle server,vivisimo,solidedge,pest,fsms,cpacspy library,cfview,kaon,saxon,mopcssoviz,daedalus,davetools,description,material,ontology,difficulty,cad,image,quantity,knowledge base,taxonomy,metadata,video,audio,documents,animation,knowledge graph,bom,manufacturing method,forms,section description,system definition,mind map,assemblies,measurement data,cad representation,business logic,freebase,capp,images,design parts,word doc,babelnet,explicit geometry,sysml model,lexical data,tooling parts,object definitions,ikewiki,sweetwiki,animations,express,uml,python,sql,sysml,sysml ,sparql,vba,wordnet,cmdows,nosql,aerospace ontology,postgresql,kadmos,bfo,rds,openvsp,cypher,xquery,codex,xml-schema-definition,nasa taxonomy,owl dl,bond graphs,rvf,mdax,cco,vampzero,topic maps,orbital space environment domain ontology,fortan,dtad,yawl,addam,multiwordnet,serql,step,database,add,xml,owl,rdf,html,pdf,json,cpacs,iges,csv,vrml,soap,flash,direct api,stl,txt,dxf,jpeg,mpeg,parasolid,ms word,gif,png,igs,acis,jpg,mov,dwf,postscript,flat file,ms excel,tiff,wrp,dwg,wav,jpgs,wmv
tooling development,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
share documents,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semantic lexicon,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nation decision,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
design concepts formalization,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semantic information transferring,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access,148,145,142,118,122,113,111,95,95,97,93,85,80,76,75,69,64,55,59,49,48,43,40,33,35,30,30,29,28,26,22,19,19,13,11,13,12,13,11,12,10,12,11,10,10,8,8,7,8,6,6,7,7,5,5,5,4,5,2,5,5,5,5,3,4,2,3,4,2,4,4,3,3,3,3,3,3,1,3,3,3,2,3,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,149,97,70,40,35,31,25,25,24,24,23,19,17,15,15,15,14,12,11,8,8,8,8,6,7,7,7,5,6,5,6,5,6,6,4,5,5,5,4,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,131,100,90,78,66,65,58,52,53,51,46,26,25,15,10,11,10,11,7,6,6,5,5,5,4,5,5,5,1,2,2,1,1,1,1,1,1,1,0,109,51,42,28,28,28,25,12,10,9,9,6,8,8,6,6,6,5,5,3,2,2,2,0,2,2,2,2,1,1,1,1,1,1,1,1,137,125,122,98,59,46,39,32,24,20,13,11,10,10,9,7,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
word,102,100,100,87,87,83,72,76,68,68,67,68,68,56,57,56,53,36,44,39,40,31,32,24,28,19,24,22,25,18,17,13,11,10,9,10,7,7,7,6,6,6,8,7,9,7,5,7,4,4,5,4,5,3,4,4,3,3,4,4,5,3,4,3,3,1,3,3,3,2,1,4,2,3,2,2,3,2,2,2,3,1,3,2,0,2,2,2,2,2,1,0,1,1,0,1,1,1,0,0,97,102,44,31,25,28,19,19,19,19,15,15,12,11,10,8,7,4,7,7,7,4,5,5,4,3,6,4,2,2,3,3,6,4,2,1,4,5,2,5,4,5,3,4,0,2,1,0,2,1,0,1,1,2,2,2,2,1,1,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,93,74,70,59,47,51,48,40,42,38,39,23,21,13,9,9,8,8,5,0,3,3,5,2,1,4,5,3,0,2,2,0,0,1,1,0,1,1,0,84,39,27,21,21,21,19,9,10,4,6,5,8,3,6,5,3,5,2,3,0,0,1,0,1,1,2,0,1,1,1,1,0,1,1,1,94,89,84,60,46,39,34,29,18,9,9,9,8,8,8,4,5,3,4,3,4,4,3,3,2,3,3,2,2,2,2,0,1,1,1,1,1,1,1
api,74,71,71,61,62,57,65,49,52,54,48,42,42,41,37,34,34,25,33,25,26,22,22,11,17,13,12,19,11,19,7,6,12,7,6,7,4,6,3,5,6,8,6,2,6,5,4,5,3,2,4,4,3,4,3,1,3,2,2,2,1,2,3,1,2,1,2,3,0,0,2,3,1,0,1,3,1,0,1,2,1,1,3,0,1,0,2,1,1,1,2,2,0,1,1,0,0,0,0,1,70,44,74,21,24,18,13,17,15,10,13,8,11,5,10,14,7,6,8,5,4,4,7,4,4,4,7,1,4,2,5,4,3,5,3,4,5,1,4,3,3,2,3,1,3,2,1,2,3,2,1,1,2,1,1,2,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,65,52,41,44,39,37,27,26,26,33,24,19,16,9,5,7,5,5,2,1,1,3,2,3,4,3,2,3,1,1,1,1,0,1,1,1,1,1,0,54,26,31,22,10,10,15,9,5,4,5,2,6,3,2,5,3,4,5,2,1,2,1,0,1,1,0,1,1,0,1,1,1,1,0,0,69,67,66,52,27,22,24,13,19,10,11,8,6,8,5,7,3,2,1,3,2,3,1,1,3,2,1,0,1,1,1,1,1,0,0,0,0,0,0
excel,40,40,40,32,37,35,35,32,33,28,30,27,28,25,24,20,28,17,20,18,17,20,13,6,11,12,9,12,5,12,4,3,3,4,3,6,1,6,3,3,3,2,4,3,4,1,2,2,1,1,1,3,2,1,1,1,0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,0,1,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,40,31,21,40,14,19,5,13,11,6,7,15,7,3,7,7,4,4,6,2,3,0,3,4,4,1,5,0,2,2,2,3,3,3,1,0,3,2,2,2,3,1,3,3,0,2,2,1,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,36,32,23,27,26,23,17,11,17,13,19,10,10,7,1,4,2,5,1,0,3,2,2,1,1,2,3,1,0,0,1,0,1,0,1,0,1,1,0,30,18,13,12,11,11,6,8,3,2,3,0,2,2,0,5,4,2,3,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,39,36,37,29,11,9,11,14,7,8,5,5,3,2,5,3,2,2,2,1,1,3,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1
google,36,34,35,33,31,30,27,27,25,28,21,23,25,25,18,25,17,10,15,16,17,13,11,5,11,4,2,10,7,12,6,4,5,4,3,2,0,4,2,3,1,0,2,1,3,3,2,3,2,1,1,4,2,0,1,1,1,1,1,2,0,2,1,1,1,1,3,1,1,0,0,2,0,0,2,1,1,0,0,1,0,0,3,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,35,25,24,14,36,7,6,7,8,6,6,7,10,5,5,6,3,2,5,2,1,2,1,2,2,1,3,2,2,2,1,1,3,3,1,1,2,3,1,3,2,0,3,2,1,3,0,2,2,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32,26,25,21,15,27,11,10,15,19,14,7,8,2,5,2,3,2,0,0,1,0,2,0,1,4,2,1,0,1,1,0,0,0,0,1,1,1,0,29,11,15,14,7,7,10,3,5,1,5,1,5,0,2,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,33,35,32,22,15,13,11,9,13,2,2,5,0,4,2,1,2,2,0,2,1,1,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0
matlab,35,35,35,30,32,33,32,28,32,27,29,21,28,28,23,15,19,14,17,15,16,15,9,3,12,13,7,9,8,11,5,2,3,2,1,3,1,4,2,2,2,1,2,0,3,2,2,3,0,0,1,2,3,0,3,0,1,0,1,0,0,2,2,0,0,2,0,0,1,0,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,31,28,18,19,7,35,3,11,10,4,8,11,5,2,6,5,4,4,7,4,6,1,3,6,4,1,6,0,2,3,3,5,4,2,2,0,3,2,2,1,4,1,1,3,0,0,2,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,32,28,17,20,23,16,24,6,13,11,15,8,8,3,1,5,0,2,0,1,0,1,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,29,11,16,12,8,8,3,8,1,1,5,0,3,1,0,6,4,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,32,33,34,25,8,6,7,10,7,7,5,3,2,1,4,2,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
protégé,27,27,26,22,22,20,18,19,19,18,18,21,12,10,17,19,14,7,9,13,8,5,7,7,7,7,9,8,5,8,4,4,2,5,7,2,6,0,0,3,1,1,4,2,4,1,1,2,1,0,3,1,3,0,1,1,0,0,1,4,5,0,1,1,1,0,1,1,0,3,1,0,0,1,1,1,1,2,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,25,19,13,5,6,3,28,7,4,9,3,3,6,1,4,4,0,1,2,2,0,0,0,0,2,0,1,0,1,0,0,1,0,0,2,1,0,0,0,1,0,1,1,0,1,1,0,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,25,19,28,16,13,11,12,17,15,9,10,6,3,3,2,2,1,1,3,0,2,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,22,12,4,6,5,5,7,3,3,0,0,4,2,0,4,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,25,23,20,18,20,13,9,6,4,1,1,2,1,1,1,1,0,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
catia,27,26,26,23,23,23,23,24,22,23,22,17,16,13,16,13,20,10,5,11,9,10,7,6,7,9,9,4,4,17,4,5,3,7,4,3,2,4,2,2,1,2,3,0,2,1,1,3,0,0,1,2,2,0,1,0,2,1,0,0,0,0,1,0,1,2,1,0,0,2,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,1,25,19,17,13,7,11,7,27,8,3,5,8,3,3,9,8,6,4,7,2,3,0,4,2,5,2,3,0,1,2,4,4,1,2,0,2,3,2,1,1,1,2,1,0,1,2,1,2,2,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,24,20,15,27,9,12,15,9,7,10,7,4,3,2,5,2,1,1,0,0,3,0,0,0,0,4,2,1,0,0,0,1,0,1,0,0,0,0,21,13,10,4,7,7,2,5,0,2,1,1,1,1,0,2,5,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,26,23,21,20,11,6,8,4,5,8,9,3,4,3,0,2,2,1,3,0,0,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
eclipse,25,25,25,20,22,23,24,18,20,20,21,14,20,12,13,13,13,8,14,9,10,13,10,4,8,6,4,9,4,9,2,2,4,4,3,4,3,3,1,0,1,5,3,1,3,2,2,3,1,0,1,1,2,0,3,0,2,0,2,1,1,1,2,0,1,0,1,1,2,0,2,2,1,1,0,0,0,0,1,3,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,24,19,15,11,8,10,4,8,25,4,4,8,3,1,3,2,6,4,4,6,2,0,4,2,3,2,1,0,3,3,4,4,4,2,0,1,3,1,2,1,0,2,1,2,0,0,1,0,1,1,0,2,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,25,22,14,14,12,16,17,8,10,15,12,8,5,4,2,3,2,2,0,3,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,22,11,11,6,7,7,4,2,3,3,2,1,2,3,2,0,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,25,24,23,22,8,7,9,7,4,7,5,3,2,2,3,2,2,1,1,3,2,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
reasoner,24,24,24,22,18,18,16,16,14,18,15,22,14,9,12,20,8,6,6,6,8,3,6,2,2,4,5,5,6,4,5,2,5,1,2,2,7,1,1,3,1,0,0,4,3,2,0,3,2,1,1,1,0,2,0,1,0,0,1,3,5,0,0,0,1,0,1,3,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,19,10,6,6,4,9,3,4,24,5,4,3,3,1,1,0,1,0,5,1,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0,1,1,0,1,0,0,1,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,23,16,23,11,8,13,13,13,15,12,9,4,2,0,2,2,2,1,0,0,1,1,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,21,11,6,5,6,6,16,1,4,0,2,2,3,0,6,0,1,2,1,0,0,1,0,0,0,0,2,0,0,1,0,1,1,0,1,1,19,21,20,15,22,16,5,11,5,2,1,2,2,1,1,1,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tr,22,22,21,19,18,19,18,19,18,16,14,16,15,16,16,10,14,12,7,7,11,9,10,2,3,5,3,7,4,6,2,1,4,3,2,2,2,1,1,1,1,0,0,2,1,4,1,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,23,15,13,7,6,8,3,5,4,5,23,5,4,1,2,3,2,1,3,3,3,1,2,1,1,1,3,0,1,3,2,2,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,16,15,12,12,6,13,9,8,9,9,4,7,1,1,3,1,1,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,18,11,3,6,3,3,6,3,2,1,0,2,0,1,2,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,20,20,20,14,11,9,5,7,4,3,1,1,2,2,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
outlook,20,19,20,17,17,17,19,15,17,17,17,14,16,12,14,10,13,9,8,9,9,13,6,4,7,4,7,9,3,7,3,2,1,4,2,2,1,3,2,1,1,2,2,0,2,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,19,15,8,15,7,11,3,8,8,4,5,20,4,3,3,3,4,2,5,3,3,0,4,4,3,1,2,1,1,3,3,3,3,1,1,0,2,2,2,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,19,16,13,12,13,12,15,7,9,7,8,3,6,3,1,2,0,2,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,17,11,8,6,6,6,2,5,2,1,2,0,0,1,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20,19,20,17,6,4,6,8,4,7,3,2,2,0,1,2,2,2,2,0,0,3,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
wikipedia,17,16,16,16,15,14,15,14,15,15,12,11,13,11,11,11,10,5,11,8,6,6,5,3,6,3,2,7,4,5,0,3,2,3,2,4,1,1,0,2,1,0,1,1,2,2,0,1,1,1,0,2,3,1,2,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,17,12,11,7,10,5,6,3,3,3,4,4,17,1,4,3,0,0,1,1,2,1,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,16,13,12,11,8,11,7,6,8,7,8,5,7,3,0,2,1,3,2,0,1,1,1,0,1,2,1,1,0,0,1,0,0,0,0,1,1,1,0,14,8,4,7,5,5,5,4,3,0,3,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,17,15,11,9,8,9,8,3,0,1,3,2,1,2,1,1,1,1,2,2,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
expert system,16,15,16,13,11,11,13,6,11,14,10,7,8,4,6,7,5,7,3,4,5,2,3,1,3,1,2,5,2,2,5,1,3,1,1,0,0,5,3,0,1,3,2,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,11,5,3,5,2,1,3,1,3,1,3,1,16,1,1,5,5,2,0,0,0,1,1,1,2,1,1,1,0,1,0,0,0,2,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,10,8,8,6,5,6,8,4,3,3,2,3,2,2,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,13,4,7,3,3,3,3,0,2,4,2,0,3,3,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,13,15,11,6,2,5,2,6,4,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
solidworks,16,16,16,15,15,12,12,16,11,12,10,10,10,9,14,10,14,4,6,5,6,6,6,7,4,3,5,5,3,10,1,4,1,3,2,1,2,0,0,2,2,0,1,0,2,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,10,10,7,5,6,4,9,3,1,2,3,4,1,16,2,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,13,9,11,15,7,6,6,5,3,7,7,3,4,1,3,2,3,0,1,0,3,1,1,1,0,2,2,0,1,0,0,0,0,1,1,0,0,0,12,9,2,1,4,4,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,12,11,6,4,7,3,2,0,6,2,3,1,1,1,1,0,2,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
